"Date","Value"
"2013-11-29",14580200000
"2013-11-30",15254600000
"2013-12-01",12937200000
"2013-12-02",13484500000
"2013-12-03",14677200000
"2013-12-04",15786400000
"2013-12-05",14343800000
"2013-12-06",11903100000
"2013-12-07",10006100000
"2013-12-08",9956500000
"2013-12-09",11912100000
"2013-12-10",13320100000
"2013-12-11",12137300000
"2013-12-12",11803700000
"2013-12-13",11967300000
"2013-12-14",11957400000
"2013-12-15",11804500000
"2013-12-16",9874850000
"2013-12-17",9666480000
"2013-12-18",7722110000
"2013-12-19",8708090000
"2013-12-20",8928450000
"2013-12-21",8266750000
"2013-12-22",8514920000
"2013-12-23",8693790000
"2013-12-24",8880160000
"2013-12-25",9204640000
"2013-12-26",10515000000
"2013-12-27",10024100000
"2013-12-28",9895540000
"2013-12-29",10025000000
"2013-12-30",10618100000
"2013-12-31",10509800000
"2014-01-01",10731600000
"2014-01-02",10852300000
"2014-01-03",11345600000
"2014-01-04",11817000000
"2014-01-05",12860600000
"2014-01-06",13036100000
"2014-01-07",12068200000
"2014-01-08",11569700000
"2014-01-09",11258800000
"2014-01-10",11619000000
"2014-01-11",12390700000
"2014-01-12",11998400000
"2014-01-13",11379200000
"2014-01-14",11473100000
"2014-01-15",11836600000
"2014-01-16",11600800000
"2014-01-17",11101700000
"2014-01-18",11375700000
"2014-01-19",11663800000
"2014-01-20",12054100000
"2014-01-21",11983800000
"2014-01-22",11652300000
"2014-01-23",11426400000
"2014-01-24",11050800000
"2014-01-25",11741200000
"2014-01-26",12263600000
"2014-01-27",11196900000
"2014-01-28",11376900000
"2014-01-29",11406700000
"2014-01-30",11376500000
"2014-01-31",11404100000
"2014-02-01",11644200000
"2014-02-02",11599100000
"2014-02-03",11368600000
"2014-02-04",11525000000
"2014-02-05",11441400000
"2014-02-06",11047100000
"2014-02-07",10340800000
"2014-02-08",9656360000
"2014-02-09",9651550000
"2014-02-10",9120830000
"2014-02-11",9304250000
"2014-02-12",9252810000
"2014-02-13",8798870000
"2014-02-14",9256470000
"2014-02-15",9102700000
"2014-02-16",8476120000
"2014-02-17",8787080000
"2014-02-18",8707160000
"2014-02-19",8738060000
"2014-02-20",8059700000
"2014-02-21",7782090000
"2014-02-22",8255430000
"2014-02-23",8722210000
"2014-02-24",7844360000
"2014-02-25",7286330000
"2014-02-26",8122390000
"2014-02-27",8174100000
"2014-02-28",8217930000
"2014-03-01",8141500000
"2014-03-02",8067150000
"2014-03-03",10016800000
"2014-03-04",10231300000
"2014-03-05",9624960000
"2014-03-06",9368510000
"2014-03-07",8805530000
"2014-03-08",8712530000
"2014-03-09",9158760000
"2014-03-10",8989570000
"2014-03-11",8939230000
"2014-03-12",9172710000
"2014-03-13",9125290000
"2014-03-14",9037520000
"2014-03-15",9101980000
"2014-03-16",9004400000
"2014-03-17",8810530000
"2014-03-18",8729540000
"2014-03-19",8731440000
"2014-03-20",8431610000
"2014-03-21",8262370000
"2014-03-22",8065670000
"2014-03-23",8191240000
"2014-03-24",8179210000
"2014-03-25",8292050000
"2014-03-26",8284160000
"2014-03-27",7271070000
"2014-03-28",7024210000
"2014-03-29",7006270000
"2014-03-30",6526120000
"2014-03-31",6406660000
"2014-04-01",6775240000
"2014-04-02",6172430000
"2014-04-03",6219980000
"2014-04-04",6193260000
"2014-04-05",6322280000
"2014-04-06",6432450000
"2014-04-07",6288700000
"2014-04-08",6299920000
"2014-04-09",6206840000
"2014-04-10",5543020000
"2014-04-11",5981630000
"2014-04-12",5882370000
"2014-04-13",5679070000
"2014-04-14",6447340000
"2014-04-15",6945170000
"2014-04-16",7153230000
"2014-04-17",6942900000
"2014-04-18",6755630000
"2014-04-19",7088340000
"2014-04-20",7016640000
"2014-04-21",6974770000
"2014-04-22",6939520000
"2014-04-23",6851250000
"2014-04-24",6917770000
"2014-04-25",6466770000
"2014-04-26",6467730000
"2014-04-27",6143130000
"2014-04-28",6238130000
"2014-04-29",6268190000
"2014-04-30",6298030000
"2014-05-01",6431130000
"2014-05-02",6255220000
"2014-05-03",6046500000
"2014-05-04",6097740000
"2014-05-05",6062060000
"2014-05-06",6058770000
"2014-05-07",6239370000
"2014-05-08",6196970000
"2014-05-09",6365460000
"2014-05-10",6369260000
"2014-05-11",6162180000
"2014-05-12",6221610000
"2014-05-13",6194880000
"2014-05-14",6288120000
"2014-05-15",6340350000
"2014-05-16",6351860000
"2014-05-17",6342330000
"2014-05-18",6301770000
"2014-05-19",6295090000
"2014-05-20",6840760000
"2014-05-21",6932780000
"2014-05-22",7239670000
"2014-05-23",7419220000
"2014-05-24",7323140000
"2014-05-25",8042690000
"2014-05-26",8095090000
"2014-05-27",8047050000
"2014-05-28",7980530000
"2014-05-29",7912940000
"2014-05-30",8467040000
"2014-05-31",8628480000
"2014-06-01",9023680000
"2014-06-02",8783230000
"2014-06-03",9297760000
"2014-06-04",8948210000
"2014-06-05",9152110000
"2014-06-06",9159630000
"2014-06-07",9097630000
"2014-06-08",9121210000
"2014-06-09",9038470000
"2014-06-10",9137760000
"2014-06-11",8997820000
"2014-06-12",8716410000
"2014-06-13",8279370000
"2014-06-14",7960330000
"2014-06-15",8001290000
"2014-06-16",8392570000
"2014-06-17",8413830000
"2014-06-18",8531620000
"2014-06-19",8510900000
"2014-06-20",8319910000
"2014-06-21",8361650000
"2014-06-22",8419980000
"2014-06-23",8309870000
"2014-06-24",8304290000
"2014-06-25",7977230000
"2014-06-26",8024980000
"2014-06-27",8260090000
"2014-06-28",8374180000
"2014-06-29",8345950000
"2014-06-30",8687890000
"2014-07-01",9120520000
"2014-07-02",9071510000
"2014-07-03",8913260000
"2014-07-04",8815470000
"2014-07-05",8731080000
"2014-07-06",8775350000
"2014-07-07",8642580000
"2014-07-08",8656160000
"2014-07-09",8679330000
"2014-07-10",8583470000
"2014-07-11",8707550000
"2014-07-12",8773150000
"2014-07-13",8720310000
"2014-07-14",8663340000
"2014-07-15",8671460000
"2014-07-16",8594130000
"2014-07-17",8726980000
"2014-07-18",8776970000
"2014-07-19",8777230000
"2014-07-20",8717040000
"2014-07-21",8700570000
"2014-07-22",8718470000
"2014-07-23",8699430000
"2014-07-24",8399070000
"2014-07-25",8400430000
"2014-07-26",8339370000
"2014-07-27",8315490000
"2014-07-28",8179180000
"2014-07-29",8170320000
"2014-07-30",8057860000
"2014-07-31",8220070000
"2014-08-01",8362570000
"2014-08-02",8272640000
"2014-08-03",8249720000
"2014-08-04",8273270000
"2014-08-05",8205920000
"2014-08-06",8197390000
"2014-08-07",8260440000
"2014-08-08",8294770000
"2014-08-09",8241880000
"2014-08-10",8257750000
"2014-08-11",8105130000
"2014-08-12",7939640000
"2014-08-13",7586830000
"2014-08-14",7184030000
"2014-08-15",6875380000
"2014-08-16",7080170000
"2014-08-17",6859380000
"2014-08-18",6358580000
"2014-08-19",6728940000
"2014-08-20",7094940000
"2014-08-21",7364750000
"2014-08-22",7259880000
"2014-08-23",6978780000
"2014-08-24",7188110000
"2014-08-25",7111120000
"2014-08-26",7330420000
"2014-08-27",7352720000
"2014-08-28",7278260000
"2014-08-29",7287820000
"2014-08-30",7223960000
"2014-08-31",6859260000
"2014-09-01",6894400000
"2014-09-02",6904130000
"2014-09-03",6842470000
"2014-09-04",7019970000
"2014-09-05",6979080000
"2014-09-06",7015770000
"2014-09-07",6993030000
"2014-09-08",6901310000
"2014-09-09",6820410000
"2014-09-10",7010050000
"2014-09-11",6905550000
"2014-09-12",6912550000
"2014-09-13",6980870000
"2014-09-14",6966150000
"2014-09-15",6938240000
"2014-09-16",6846970000
"2014-09-17",6652230000
"2014-09-18",6221880000
"2014-09-19",5859490000
"2014-09-20",6016020000
"2014-09-21",5908310000
"2014-09-22",5907680000
"2014-09-23",6253540000
"2014-09-24",6279930000
"2014-09-25",6053980000
"2014-09-26",5973120000
"2014-09-27",5886180000
"2014-09-28",5655560000
"2014-09-29",5634910000
"2014-09-30",5700540000
"2014-10-01",5703220000
"2014-10-02",5582550000
"2014-10-03",5427450000
"2014-10-04",5050680000
"2014-10-05",4511160000
"2014-10-06",4927730000
"2014-10-07",4947870000
"2014-10-08",5145800000
"2014-10-09",5557100000
"2014-10-10",5300220000
"2014-10-11",5351760000
"2014-10-12",5533900000
"2014-10-13",5626020000
"2014-10-14",6028680000
"2014-10-15",5803330000
"2014-10-16",5580030000
"2014-10-17",5687420000
"2014-10-18",5780300000
"2014-10-19",5793450000
"2014-10-20",5685480000
"2014-10-21",5742330000
"2014-10-22",5697840000
"2014-10-23",5423270000
"2014-10-24",5331380000
"2014-10-25",5207390000
"2014-10-26",5261350000
"2014-10-27",5317720000
"2014-10-28",5286370000
"2014-10-29",5075040000
"2014-10-30",5087990000
"2014-10-31",5049800000
"2014-11-01",4861050000
"2014-11-02",4848650000
"2014-11-03",4874650000
"2014-11-04",4918240000
"2014-11-05",5073990000
"2014-11-06",5170810000
"2014-11-07",5089420000
"2014-11-08",5132910000
"2014-11-09",5297050000
"2014-11-10",5526700000
"2014-11-11",5419580000
"2014-11-12",6146280000
"2014-11-13",6074990000
"2014-11-14",5858290000
"2014-11-15",5568670000
"2014-11-16",5693210000
"2014-11-17",5718770000
"2014-11-18",5613020000
"2014-11-19",5635820000
"2014-11-20",5407440000
"2014-11-21",5355690000
"2014-11-22",5406060000
"2014-11-23",5518690000
"2014-11-24",5846190000
"2014-11-25",5786050000
"2014-11-26",5664110000
"2014-11-27",5787360000
"2014-11-28",5925880000
